CellCode,precipitation
10kmE281N181,644.4958653846154
10kmE281N182,598.9697435897436
10kmE281N187,476.83012820512823
10kmE281N188,479.5717948717949
10kmE281N226,1624.3553846153848
10kmE281N229,1562.3830769230772
10kmE281N230,1826.9739743589744
10kmE281N231,1988.1447435897433
10kmE281N232,2222.9270512820513
10kmE281N233,2201.625673076923
10kmE281N234,2145.399423076923
10kmE281N235,2096.5550000000007
10kmE281N236,1964.0904807692307
10kmE281N237,1845.5549999999998
10kmE281N238,1902.0373076923076
10kmE281N239,1915.035128205128
10kmE281N240,1794.8479807692308
10kmE281N241,1538.8503846153844
10kmE281N242,1269.7601923076923
10kmE282N172,534.8700000000001
10kmE282N173,540.8203846153847
10kmE282N174,545.2098717948719
10kmE282N175,577.4257692307692
10kmE282N176,618.8171794871795
10kmE282N177,641.5515384615384
10kmE282N178,655.4979487179488
10kmE282N179,694.8849038461539
10kmE282N180,758.613076923077
10kmE282N181,725.4264423076925
10kmE282N182,687.9857692307692
10kmE282N184,540.3669230769231
10kmE282N185,530.7991025641026
10kmE282N186,516.0839743589744
10kmE282N187,515.6189743589744
10kmE282N188,515.3135897435898
10kmE282N189,486.63230769230773
10kmE282N190,469.7757692307693
10kmE282N199,547.4026923076924
10kmE282N200,549.3573076923077
10kmE282N201,534.9142307692308
10kmE282N226,1707.3262820512819
10kmE282N227,1633.398846153846
10kmE282N228,1756.1765384615383
10kmE282N230,1666.59875
10kmE282N231,1961.9552884615384
10kmE282N232,2166.3537179487175
10kmE282N233,2188.2447435897434
10kmE282N234,2080.4137179487175
10kmE282N235,1983.311346153846
10kmE282N236,1673.3774358974358
10kmE282N237,1704.2705769230768
10kmE282N238,1793.9633653846154
10kmE282N239,1661.5160576923076
10kmE282N240,1591.608653846154
10kmE282N241,1532.5820512820512
10kmE282N242,1303.662980769231
10kmE282N243,1119.6615384615384
10kmE283N172,557.0673076923076
10kmE283N173,567.5467948717948
10kmE283N174,572.3808974358975
10kmE283N175,588.4911538461539
10kmE283N176,646.8738461538463
10kmE283N177,678.6096153846154
10kmE283N178,716.1564423076923
10kmE283N179,755.4730769230771
10kmE283N180,840.6624999999999
10kmE283N181,865.2864423076923
10kmE283N182,747.5741025641024
10kmE283N183,654.9740384615384
10kmE283N185,563.5760256410257
10kmE283N186,561.1910576923077
10kmE283N187,567.4725961538461
10kmE283N188,544.7744230769231
10kmE283N189,529.5994230769231
10kmE283N190,490.16461538461544
10kmE283N191,469.9307692307693
10kmE283N195,654.821923076923
10kmE283N196,686.0030769230768
10kmE283N197,777.7188461538462
10kmE283N198,662.0955769230768
10kmE283N199,556.767435897436
10kmE283N200,520.881282051282
10kmE283N201,529.7292307692308
10kmE283N226,1575.3434615384617
10kmE283N227,1438.316346153846
10kmE283N228,1642.8352564102563
10kmE283N229,1406.907051282051
10kmE283N230,1255.9896153846153
10kmE283N231,1428.1925
10kmE283N232,1634.2055769230767
10kmE283N233,1747.4221153846156
10kmE283N234,1876.170192307692
10kmE283N235,1732.1763461538462
10kmE283N236,1515.4065384615385
10kmE283N237,1524.9729487179486
10kmE283N238,1585.628846153846
10kmE283N239,1542.669615384615
10kmE283N240,1490.0490384615384
10kmE283N241,1375.30875
10kmE283N242,1239.0819230769232
10kmE283N243,1130.9475000000002
10kmE284N170,553.1096153846155
10kmE284N171,564.8671153846153
